,u,i,ts,label,idx
0,403,3,1289192400.0,2.0,1277
1,971,11,1289192400.0,2.0,4005
2,272,11,1289192400.0,2.0,4006
3,55,114,1289192400.0,0.0,10470
4,3,120,1289365200.0,0.0,923
5,55,120,1289365200.0,0.0,10469
6,120,55,1289365200.0,0.0,10503
7,472,120,1289365200.0,2.0,14664
8,272,120,1289365200.0,2.0,14667
9,75,169,1289451600.0,2.0,11963
10,3,272,1289538000.0,0.0,922
11,55,272,1289538000.0,0.0,10466
12,114,272,1289538000.0,0.0,14290
13,120,272,1289538000.0,0.0,14647
14,472,272,1289538000.0,2.0,19004
15,38,475,1289624400.0,0.0,8849
16,475,38,1289624400.0,2.0,8887
17,38,55,1289710800.0,0.0,8825
18,38,114,1289710800.0,0.0,8836
19,114,38,1289710800.0,0.0,8858
20,11,169,1289797200.0,0.0,3908
21,169,11,1289797200.0,0.0,4071
22,440,169,1289797200.0,2.0,16611
23,11,100,1290056400.0,0.0,3907
24,100,11,1290056400.0,2.0,4070
25,38,1633,1290142800.0,0.0,8835
26,1633,38,1290142800.0,2.0,8886
27,114,1128,1290229200.0,0.0,14302
28,3,11,1290488400.0,0.0,924
29,3,1128,1290661200.0,0.0,1011
30,1128,3,1290661200.0,2.0,1190
31,5,114,1290747600.0,0.0,1819
32,114,5,1290747600.0,0.0,2057
33,169,3,1290920400.0,0.0,1095
34,114,2,1291006800.0,0.0,470
35,3,1633,1291006800.0,0.0,979
36,11,3,1291006800.0,0.0,1151
37,1633,3,1291006800.0,2.0,1187
38,3,2,1291093200.0,0.0,884
39,122,506,1291093200.0,2.0,14733
40,506,122,1291093200.0,2.0,14758
41,3,169,1291179600.0,0.0,914
42,3,472,1291266000.0,0.0,978
43,100,5,1291352400.0,2.0,2112
44,506,7425,1291438800.0,2.0,21280
45,7425,506,1291438800.0,2.0,21285
46,5,92,1291525200.0,0.0,1861
47,92,7425,1291525200.0,0.0,13137
48,7425,92,1291525200.0,2.0,13153
49,298,92,1291525200.0,0.0,13154
50,169,75,1291611600.0,0.0,11976
51,313,75,1291611600.0,0.0,11977
52,5,11,1291698000.0,0.0,1978
53,11,5,1291698000.0,0.0,2185
54,92,298,1292043600.0,0.0,13128
55,100,2474,1292043600.0,2.0,13664
56,100,239,1292043600.0,2.0,13665
57,2474,100,1292043600.0,2.0,13690
58,239,100,1292043600.0,2.0,13691
59,41,122,1292130000.0,0.0,9116
60,122,41,1292130000.0,2.0,9176
61,120,122,1292216400.0,0.0,14654
62,122,120,1292216400.0,2.0,14672
63,5,122,1292302800.0,0.0,1837
64,122,5,1292302800.0,2.0,2056
65,5,100,1292648400.0,0.0,1909
66,32,38,1292734800.0,0.0,8051
67,92,120,1292734800.0,0.0,13127
68,120,92,1292734800.0,0.0,13148
69,38,7401,1292821200.0,0.0,8829
70,7401,38,1292821200.0,2.0,8875
71,55,7401,1292821200.0,0.0,10478
72,3,711,1292907600.0,0.0,1008
73,711,3,1292907600.0,2.0,1186
74,5,120,1293166800.0,0.0,1820
75,2,626,1293426000.0,0.0,75
76,745,2,1293426000.0,2.0,471
77,626,2,1293426000.0,2.0,472
78,5,440,1293426000.0,0.0,1977
79,440,5,1293426000.0,2.0,2111
80,92,626,1293426000.0,0.0,13125
81,626,92,1293426000.0,2.0,13145
82,381,38,1293512400.0,2.0,8861
83,1402,41,1293512400.0,2.0,9228
84,5,1210,1293598800.0,0.0,1976
85,313,5,1293598800.0,0.0,1998
86,1210,5,1293598800.0,2.0,2184
87,46,918,1293598800.0,0.0,9686
88,75,1128,1293598800.0,2.0,11957
89,1128,75,1293598800.0,2.0,11973
90,294,7401,1293598800.0,2.0,19320
91,3,513,1293685200.0,0.0,1092
92,513,3,1293685200.0,0.0,1276
93,24,513,1293771600.0,0.0,6834
94,24,41,1293771600.0,0.0,6835
95,513,24,1293771600.0,0.0,6893
96,41,24,1293771600.0,0.0,6894
97,38,32,1293771600.0,0.0,8116
98,918,46,1293858000.0,2.0,9742
99,75,626,1293858000.0,2.0,11956
100,626,75,1293858000.0,2.0,11972
101,3,918,1294030800.0,0.0,1007
102,918,3,1294030800.0,2.0,1185
103,38,41,1294030800.0,0.0,8848
104,41,38,1294030800.0,0.0,8885
105,252,46,1294117200.0,2.0,9741
106,440,626,1294117200.0,2.0,20812
107,626,440,1294117200.0,2.0,20816
108,41,2892,1294203600.0,0.0,9119
109,41,45,1294203600.0,0.0,9162
110,2892,41,1294203600.0,2.0,9179
111,45,41,1294203600.0,2.0,9227
112,626,7553,1294203600.0,2.0,21943
113,7553,626,1294203600.0,2.0,21945
114,2,745,1294549200.0,0.0,151
115,41,745,1294549200.0,0.0,9118
116,745,41,1294549200.0,2.0,9178
117,713,745,1294549200.0,2.0,22314
118,745,713,1294549200.0,2.0,22318
119,92,169,1294635600.0,0.0,13136
120,169,92,1294635600.0,0.0,13144
121,250,745,1294722000.0,2.0,18656
122,745,250,1294808400.0,2.0,18664
123,5,502,1294894800.0,0.0,1859
124,403,1116,1294894800.0,2.0,20447
125,1116,403,1294894800.0,2.0,20451
126,626,1470,1294894800.0,2.0,21942
127,1470,626,1294894800.0,2.0,21944
128,403,745,1294981200.0,2.0,20448
129,745,403,1294981200.0,2.0,20452
130,3,437,1295154000.0,0.0,1091
131,437,3,1295154000.0,2.0,1275
132,437,769,1295154000.0,2.0,20794
133,24,769,1295326800.0,0.0,6819
134,38,92,1295413200.0,0.0,8847
135,92,38,1295413200.0,0.0,8884
136,990,41,1295413200.0,2.0,9226
