,u,i,ts,label,idx
0,3,7,1289241911.72836,0.0,1
1,6,7,1289241941.53378,2.0,2
2,16,2,1289243140.39049,2.0,3
3,4,5,1289245277.36975,0.0,4
4,17,14,1289254254.44746,2.0,5
5,11,14,1289254300.79514,0.0,6
6,6,8,1289362700.47913,2.0,7
7,22,3,1289370556.80938,0.0,8
8,21,3,1289370622.21473,0.0,9
9,3,22,1289380981.52787,0.0,10
10,2,22,1289441411.46365,0.0,11
11,11,22,1289441438.4426,0.0,12
12,9,22,1289441450.59006,0.0,13
13,4,22,1289441525.73831,0.0,14
14,4,18,1289442313.03711,0.0,15
15,24,18,1289489668.48486,0.0,16
16,2,11,1289555656.32898,0.0,17
17,7,11,1289555731.22217,0.0,18
18,22,11,1289555745.64663,0.0,19
19,9,11,1289555767.7095,0.0,20
20,26,11,1289555841.66508,0.0,21
21,3,11,1289555871.04233,0.0,22
22,4,11,1289555875.70958,0.0,23
23,27,5,1289641693.99029,2.0,24
24,5,27,1289641703.57785,0.0,25
25,2,6,1289660298.87048,0.0,26
26,7,6,1289660319.00982,0.0,27
27,8,6,1289660347.43795,0.0,28
28,6,2,1289710643.19963,2.0,29
29,5,7,1289770700.4293,0.0,30
30,7,5,1289770756.50297,0.0,31
31,5,3,1289771303.53929,0.0,32
32,29,18,1289836081.52099,2.0,33
33,14,18,1289873367.89538,0.0,34
34,18,14,1289873611.94452,0.0,35
35,30,14,1290088212.27332,2.0,36
36,14,30,1290090118.30882,0.0,37
37,21,18,1290108486.68868,0.0,38
38,32,5,1290197549.13082,2.0,39
39,5,32,1290197554.48422,0.0,40
40,7,33,1290300441.66925,0.0,41
41,2,14,1290520563.53596,0.0,42
42,35,8,1290644457.56157,2.0,43
43,8,35,1290644477.40213,0.0,44
44,2,33,1290666928.42163,0.0,45
45,33,2,1290666953.43175,2.0,46
46,35,2,1290750434.01249,2.0,47
47,2,35,1290752776.47886,0.0,48
48,14,35,1290758643.30207,0.0,49
49,35,14,1290761556.7369,2.0,50
50,8,7,1290826367.17211,0.0,51
51,7,8,1290826591.42034,0.0,52
52,18,2,1290969236.78019,0.0,53
53,32,2,1291052764.71454,2.0,54
54,2,32,1291055972.91439,0.0,55
55,7,36,1291056174.72596,0.0,56
56,14,2,1291090930.69481,0.0,57
57,38,37,1291157823.29216,2.0,58
58,37,38,1291159845.12556,2.0,59
59,2,36,1291159911.11891,0.0,60
60,2,18,1291217882.28299,0.0,61
61,2,9,1291315232.33698,0.0,62
62,30,8,1291376109.62385,2.0,63
63,21,2,1291505266.30993,0.0,64
64,45,38,1291515528.23159,2.0,65
65,38,45,1291515697.49227,2.0,66
66,46,40,1291578872.19781,0.0,67
67,8,40,1291590274.45619,0.0,68
68,45,40,1291591178.25959,2.0,69
69,40,45,1291591211.84395,0.0,70
70,18,24,1291623781.12772,0.0,71
71,20,24,1291623787.90955,0.0,72
72,47,37,1291684579.71178,2.0,73
73,37,47,1291684612.11599,2.0,74
74,2,48,1291740270.94728,0.0,75
75,8,14,1291757016.29721,0.0,76
76,14,8,1291757031.50303,0.0,77
77,52,30,1292070534.03952,2.0,78
78,30,52,1292071378.89261,2.0,79
79,53,30,1292085236.69986,2.0,80
80,30,53,1292085280.0736,2.0,81
81,40,46,1292099160.9751,0.0,82
82,54,46,1292189306.47485,2.0,83
83,46,54,1292189412.5311,0.0,84
84,55,46,1292193828.31273,0.0,85
85,46,55,1292195062.40986,0.0,86
86,55,2,1292196392.21474,0.0,87
87,2,55,1292196407.13906,0.0,88
88,4,8,1292200462.1576,0.0,89
89,42,37,1292206237.08404,0.0,90
90,37,42,1292206272.45044,2.0,91
91,22,37,1292297572.76433,0.0,92
92,37,22,1292297608.09604,2.0,93
93,37,8,1292361185.86524,2.0,94
94,8,37,1292361298.90511,0.0,95
95,54,8,1292442401.75654,2.0,96
96,8,54,1292442432.71184,0.0,97
97,56,8,1292447857.20632,2.0,98
98,8,56,1292490376.23637,0.0,99
99,8,30,1292716197.42619,0.0,100
100,58,5,1292795818.34165,0.0,101
101,22,40,1292819158.23834,0.0,102
102,40,22,1292819328.73322,0.0,103
103,62,5,1292823618.44624,0.0,104
104,5,62,1292823672.32603,0.0,105
105,21,62,1292823684.25402,0.0,106
106,3,62,1292823727.667,0.0,107
107,66,36,1292920838.87248,2.0,108
108,36,66,1292935948.10307,0.0,109
109,2,57,1292957157.40408,0.0,110
110,57,2,1292957195.7147,2.0,111
111,67,5,1293050723.00352,2.0,112
112,5,67,1293054742.65514,0.0,113
113,8,22,1293191604.74618,0.0,114
114,21,8,1293409870.96218,0.0,115
115,70,36,1293448472.81444,2.0,116
116,71,36,1293448479.2438,2.0,117
117,70,40,1293453341.91475,2.0,118
118,40,70,1293453456.20721,0.0,119
119,36,70,1293453463.2234,0.0,120
120,72,2,1293481238.15303,2.0,121
121,2,72,1293481551.96527,0.0,122
122,29,8,1293481688.78585,2.0,123
123,8,29,1293482234.62328,0.0,124
124,73,5,1293523499.48644,0.0,125
125,75,2,1293579274.01007,2.0,126
126,2,75,1293579280.83393,0.0,127
127,76,42,1293583961.4875,2.0,128
128,65,69,1293603105.36008,0.0,129
129,8,77,1293604543.59049,0.0,130
130,77,8,1293604590.1113,2.0,131
131,20,8,1293632316.69358,0.0,132
132,24,33,1293643257.60649,0.0,133
133,33,24,1293646340.181,2.0,134
134,21,24,1293661055.82282,0.0,135
135,78,62,1293665840.7407,0.0,136
136,79,2,1293749573.83432,0.0,137
137,2,79,1293749669.21687,0.0,138
138,42,61,1293819840.40947,0.0,139
139,61,42,1293820339.69123,0.0,140
140,61,79,1293831460.95955,0.0,141
141,79,61,1293831479.76095,0.0,142
142,5,58,1293843254.06475,0.0,143
143,70,24,1293888120.91641,2.0,144
144,24,70,1293888137.47196,0.0,145
145,69,65,1293930357.98644,2.0,146
146,80,36,1293994479.85825,2.0,147
147,36,80,1293996991.46985,0.0,148
148,5,42,1294081163.014,0.0,149
149,42,5,1294081177.89816,0.0,150
150,69,2,1294083688.36895,2.0,151
151,2,69,1294083725.97495,0.0,152
152,29,70,1294126590.415,2.0,153
153,70,29,1294152392.91925,2.0,154
154,81,65,1294190542.60702,2.0,155
155,82,18,1294192094.04763,2.0,156
156,18,82,1294192614.67232,0.0,157
157,63,70,1294244410.4263,1.0,158
158,70,63,1294249080.61302,2.0,159
159,84,42,1294262869.27706,2.0,160
160,105,42,1294267264.64071,2.0,161
161,42,84,1294267277.04065,0.0,162
162,87,42,1294271217.57214,2.0,163
163,42,87,1294274023.32141,0.0,164
164,42,105,1294285068.74772,0.0,165
165,88,5,1294300030.22996,2.0,166
166,5,88,1294300186.31404,0.0,167
167,70,82,1294395970.3296,2.0,168
168,82,70,1294396076.49534,2.0,169
169,90,42,1294426072.97569,2.0,170
170,42,90,1294429629.84466,0.0,171
171,88,61,1294429932.32732,2.0,172
172,61,88,1294429999.78412,0.0,173
173,90,8,1294438542.46541,2.0,174
174,8,90,1294439193.84082,0.0,175
175,95,65,1294546375.24239,2.0,176
176,71,42,1294595719.20179,2.0,177
177,65,95,1294599138.54006,0.0,178
178,96,71,1294600321.90078,2.0,179
